,year,region,no_lic,no_acci,no_dead,no_injured
0,2016-01-01,Al-Baha,4614,3618,185,1227
1,2016-01-01,Al-Jouf,9371,10212,245,920
2,2016-01-01,Al-Qaseem,9180,25664,397,1513
3,2016-01-01,Assir,41367,32684,983,2541
4,2016-01-01,Eastern_Region,142307,101619,1113,4893
5,2016-01-01,Hail,54507,10199,299,932
6,2016-01-01,Jazan,11504,25873,514,2259
7,2016-01-01,Madinah,24540,14475,822,4184
8,2016-01-01,Makkah,136055,134838,2243,12383
9,2016-01-01,Najran,2153,3235,173,706
10,2016-01-01,Northern Boarder,4958,13196,193,631
11,2016-01-01,Riyadh,242851,141736,1430,4207
12,2016-01-01,Tabouk,13610,16031,434,1724
13,2017-01-01,Al-Baha,4131,1414,134,1007
14,2017-01-01,Al-Jouf,8091,10469,240,862
15,2017-01-01,Al-Qaseem,6318,22405,319,1446
16,2017-01-01,Assir,39133,25245,828,2368
17,2017-01-01,Eastern_Region,126816,81433,963,4073
18,2017-01-01,Hail,22035,9379,265,773
19,2017-01-01,Jazan,18345,22161,466,2207
20,2017-01-01,Madinah,36165,16070,580,2917
21,2017-01-01,Makkah,142487,145541,1641,10623
22,2017-01-01,Najran,13825,3193,194,766
23,2017-01-01,Northern Boarder,5280,11540,112,374
24,2017-01-01,Riyadh,495307,99925,1399,4540
25,2017-01-01,Tabouk,10232,11713,348,1243
